NODENAME;AVG.FREQ;DEF.FREQ;TIME;CPI;TPI;GBS;DC-NODE-POWER;DRAM-POWER;PCK-POWER;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SP_SINGLE;SP_128;SP_256;SP_512;DP_SINGLE;DP_128;DP_256;DP_512;FIRST_EVENT;LEVEL;SIZE;ITERATIONS
cmp2538;984000;2100000;1.001716;0.345629;0.048563;0.127899;152.588174;13.272840;112.144108;9790802146;28327474553;0.000000;0;0;0;0;0;0;0;106;0;0;0;1;1;1;50
cmp2540;984000;2100000;1.001654;0.348133;0.051390;0.134265;155.348507;11.422909;113.188735;9782430816;28099690677;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;50
cmp2539;984000;2100000;1.001813;0.355786;0.051531;0.131809;155.244941;12.400543;114.917936;9789436119;27514934653;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;50
cmp2549;984000;2100000;1.001706;0.349387;0.056129;0.146140;143.856609;11.553984;104.091179;9784342915;28004286427;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;50
cmp2551;984000;2100000;1.001701;0.348576;0.055668;0.145078;151.885497;12.618629;113.197475;9770892142;28030840709;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;50
cmp2552;1094700;2100000;1.001591;0.349239;0.058444;0.152303;131.943911;10.302195;92.767771;9787710464;28025811185;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;50
cmp2543;2088600;2100000;1.001183;0.349946;0.024013;0.132373;236.036040;13.294986;189.409213;20737943768;59260328882;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;60
cmp2544;2088600;2100000;1.001309;0.345421;0.023559;0.131471;225.523100;12.257952;180.392182;20724464778;59997660964;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;60
cmp2550;984000;2100000;1.001570;0.347469;0.048167;0.126184;134.734440;9.989702;110.132551;9789385824;28173386434;0.000000;0;0;0;0;0;0;0;80;0;0;0;1;1;1;60
cmp2540;984000;2100000;1.001654;0.345856;0.049296;0.129803;155.132964;11.391922;112.896451;9794565276;28319805012;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;60
cmp2539;984000;2100000;1.001513;0.355684;0.050092;0.128123;153.984905;12.415147;114.784510;9783232239;27505415224;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;60
cmp2549;984000;2100000;1.001606;0.349419;0.049695;0.129462;143.420495;11.556175;104.088598;9789846425;28017509876;0.000000;0;0;0;0;0;0;0;80;0;0;0;1;1;1;60
cmp2552;1096500;2100000;1.001891;0.345582;0.038810;0.102256;131.395978;10.317442;92.297109;9795154524;28343945147;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;60
cmp2538;984000;2100000;1.002416;0.345857;0.047869;0.126050;152.376888;13.238461;111.928590;9802504842;28342687033;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;60
cmp2551;984000;2100000;1.002601;0.346244;0.054504;0.143244;136.010995;12.603144;113.071535;9796229508;28292832193;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;60
cmp2537;2088000;2100000;1.001504;0.346941;0.097156;0.987101;236.544290;21.679120;342.188326;37905201189;109255570192;0.000002;0;0;0;0;0;0;0;636;0;0;0;1;1;1;30
cmp2543;2088600;2100000;1.001183;0.350026;0.023981;0.132160;235.271321;13.281584;189.323450;20736853976;59243811390;0.000000;0;0;0;0;0;0;0;119;0;0;0;1;1;1;70
