NODE_ID;JOB_ID;STEP_ID;USER_ID;GROUP_ID;APP_ID;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG.CPUFREQ;AVG.IMCFREQ;DEF.FREQ;TIME;CPI;TPI;GBS;IO_MBS;P.MPI;DC-NODE-POWER;DRAM-POWER;PCK-POWER;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SP_SINGLE;SP_128;SP_256;SP_512;DP_SINGLE;DP_128;DP_256;DP_512
tcn45;1218623;3;julitac; ;vasp-asis;energysoil;julitac;min_time;0.700000;2392000;1467000;2400000;2094.544189;0.638705;35.509953;112.093369;0.119399;34.838497;536.096558;0.000000;381.013916;614657868570946;962350436821710;129.401428;0;0;0;0;0;0;0;0;270434015723640;0;0
tcn47;1218623;3;julitac; ;vasp-asis;energysoil;julitac;min_time;0.700000;2441562;1467000;2400000;2095.092285;0.450570;6.911389;35.688698;0.059691;62.195820;428.563446;0.000000;307.503937;325818726744703;723125431262856;65.313843;0;0;0;0;0;0;0;0;136610101255474;0;0
tcn45;1218623;2;julitac; ;vasp-asis;energysoil;julitac;min_energy;0.050000;2392000;1467000;2600000;2102.622314;0.634929;36.978096;110.762390;0.118984;35.390060;537.862183;0.000000;382.824799;617937466710829;973239216621753;128.734024;0;0;0;0;0;0;0;0;270512575247868;0;0
tcn47;1218623;2;julitac; ;vasp-asis;energysoil;julitac;min_energy;0.050000;2478125;1467000;2600000;2102.332520;0.450157;6.962043;35.641655;0.059454;62.550583;427.570801;0.000000;308.052094;327125916478200;726692364020268;65.105103;0;0;0;0;0;0;0;0;136848968183002;0;0
tcn45;1218623;1;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;3120812;1467000;2601000;2024.846436;0.705331;32.430851;113.520332;0.122857;36.586563;800.000000;0.000000;555.982422;776146109752010;1100399377152448;135.623276;0;0;0;0;0;0;0;0;273956727865740;0;0
tcn47;1218623;1;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;3121015;1467000;2601000;2025.182861;0.459686;5.720779;36.653439;0.061474;67.683884;626.658997;0.000000;466.394989;416609228319205;906290952637915;69.810181;0;0;0;0;0;0;0;0;141127636198138;0;0
tcn45;1218623;0;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2574000;1467000;2600000;2078.713135;0.647333;33.847900;111.762001;0.119604;36.358822;577.787292;0.000000;415.385345;656638886770914;1014375784726356;131.973312;0;0;0;0;0;0;0;0;271878542345192;0;0
tcn47;1218623;0;julitac; ;vasp-asis;energysoil;julitac;monitoring;0.000000;2545765;1467000;2600000;2078.509766;0.451007;7.015230;35.617760;0.060010;63.097542;443.334442;0.000000;320.090546;336046143270099;745101390797726;66.187035;0;0;0;0;0;0;0;0;137041227591188;0;0
