JOBID;STEPID;APPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;TEMP0;TEMP1;TEMP2;TEMP3;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU0_GFLOPS;GPU0_TEMP;GPU0_MEMTEMP;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU1_GFLOPS;GPU1_TEMP;GPU1_MEMTEMP;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU2_GFLOPS;GPU2_TEMP;GPU2_MEMTEMP;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;GPU3_GFLOPS;GPU3_TEMP;GPU3_MEMTEMP;GPU4_POWER_W;GPU4_FREQ_KHZ;GPU4_MEM_FREQ_KHZ;GPU4_UTIL_PERC;GPU4_MEM_UTIL_PERC;GPU4_GFLOPS;GPU4_TEMP;GPU4_MEMTEMP;GPU5_POWER_W;GPU5_FREQ_KHZ;GPU5_MEM_FREQ_KHZ;GPU5_UTIL_PERC;GPU5_MEM_UTIL_PERC;GPU5_GFLOPS;GPU5_TEMP;GPU5_MEMTEMP;GPU6_POWER_W;GPU6_FREQ_KHZ;GPU6_MEM_FREQ_KHZ;GPU6_UTIL_PERC;GPU6_MEM_UTIL_PERC;GPU6_GFLOPS;GPU6_TEMP;GPU6_MEMTEMP;GPU7_POWER_W;GPU7_FREQ_KHZ;GPU7_MEM_FREQ_KHZ;GPU7_UTIL_PERC;GPU7_MEM_UTIL_PERC;GPU7_GFLOPS;GPU7_TEMP;GPU7_MEMTEMP;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.022702;0.330214;0.210393;32.430031;0.000000;0.000000;305.074310;0.000000;308.874054;520546654341;1576391569198;639.817200;80275189077;28696408810;0;0;0;6544050491196;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636737;0;08-08-2025 09:05:37
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.017602;0.330063;0.184836;28.498232;0.000000;0.000000;353.773041;0.000000;309.397522;517852354283;1568950319830;640.048035;79915336316;28573610428;0;0;0;6513128671849;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636748;0;08-08-2025 09:05:48
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.017902;0.330001;0.199119;30.715778;0.000000;0.000000;350.721466;0.000000;308.588318;518166191684;1570196331051;640.427612;79970791411;28575549983;0;0;0;6518912795364;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636758;0;08-08-2025 09:05:58
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.017602;0.330432;0.194572;29.977686;0.000000;0.000000;346.894073;0.000000;309.134308;518057215795;1567816709302;639.607361;79853687173;28527044930;0;0;0;6508644635775;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636768;0;08-08-2025 09:06:08
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.022902;0.330539;0.197617;30.443146;0.000000;0.000000;346.074310;0.000000;308.812195;520859987811;1575789627674;639.666260;80268889447;28663952573;0;0;0;6543145999688;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636778;0;08-08-2025 09:06:18
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.019202;0.330419;0.168797;26.010983;0.000000;0.000000;344.387146;0.000000;308.607178;518941027792;1570552221388;639.915894;79996927965;28560185111;0;0;0;6522022567322;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636788;0;08-08-2025 09:06:28
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.022002;0.330333;0.188052;28.976021;0.000000;0.000000;343.443665;0.000000;308.931763;520191693427;1574748819196;639.843201;80214518007;28641425116;0;0;0;6539197607867;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636799;0;08-08-2025 09:06:39
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.020402;0.330380;0.190122;29.304188;0.000000;0.000000;347.902191;0.000000;309.018433;519615083400;1572780273268;640.136230;80119150058;28602902641;0;0;0;6531950351321;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636809;0;08-08-2025 09:06:49
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.020402;0.330739;0.183657;28.283903;0.000000;0.000000;343.982147;0.000000;308.417999;519741109847;1571455054020;639.216064;80010501333;28567789410;0;0;0;6522560894040;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636819;0;08-08-2025 09:06:59
25335297;1;3574071;n2cn0802;3234000;1600000;2451000;1.017702;0.329779;0.188662;29.112604;0.000000;0.000000;346.859924;0.000000;309.040222;517894377094;1570426418444;640.578613;79969724626;28554215391;0;0;0;6519168524158;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1754636829;0;08-08-2025 09:07:09
